Scheduler,Turnaround,Waiting,Response,CPU_Util,Throughput,Runtime_s
FIFO,60.41,57.92,57.92,99.20318725099602,0.398406374501992,0.030509233474731445
Round Robin,19.85,17.36,15.72,99.20318725099602,0.398406374501992,0.027865886688232422
CFS,12.61,10.12,5.855,99.20318725099602,0.398406374501992,0.04473423957824707
MLQ,53.24,50.75,32.815,99.20318725099602,0.398406374501992,0.02614879608154297
MFQ,7.895,5.405,1.825,99.20318725099602,0.398406374501992,0.025504589080810547
PPO,15.04,12.55,10.39,99.20318725099602,0.398406374501992,0.10302329063415527
DPO,6.995,4.505,2.385,99.20318725099602,0.398406374501992,0.09442830085754395
DQN,59.0,56.51,56.43,99.20318725099602,0.398406374501992,0.13403534889221191
