Scheduler,Turnaround,Waiting,Response,CPU_Util,Throughput,Runtime_s
FIFO,232.96,228.36,228.36,99.78308026030369,0.21691973969631237,0.05563998222351074
Round Robin,372.12,367.52,187.98,99.78308026030369,0.21691973969631237,0.03904008865356445
CFS,254.455,249.855,177.11,99.78308026030369,0.21691973969631237,0.15774774551391602
MLQ,276.36,271.76,151.335,99.78308026030369,0.21691973969631237,0.038956403732299805
MFQ,543.435,538.835,50.65,99.78308026030369,0.21691973969631237,0.022053241729736328
PPO,233.66,229.06,227.725,99.78308026030369,0.21691973969631237,0.1501142978668213
DPO,233.215,228.615,223.915,99.78308026030369,0.21691973969631237,0.1456160545349121
DQN,232.96,228.36,228.335,99.78308026030369,0.21691973969631237,0.1628730297088623
