Scheduler,Turnaround,Waiting,Response,CPU_Util,Throughput,Runtime_s
FIFO,768.2058333333333,756.2916666666666,756.2916666666666,99.62789754604307,0.14789275398565582,0.015014290809631348
Round Robin,617.2925,605.3783333333333,171.90833333333333,99.62789754604307,0.14789275398565582,0.011880437533060709
CFS,605.5275,593.6133333333333,267.96000000000004,99.62789754604307,0.14789275398565582,0.04871527353922526
MLQ,739.14,727.2258333333333,518.2758333333334,99.62789754604307,0.14789275398565582,0.013330380121866861
MFQ,648.9308333333332,637.0166666666667,39.862500000000004,99.62789754604307,0.14789275398565582,0.011658112208048502
PPO,679.4833333333333,667.5691666666667,657.3366666666667,99.62789754604307,0.14789275398565582,0.028171181678771973
DPO,609.7741666666667,597.86,588.975,99.62789754604307,0.14789275398565582,0.028581539789835613
DQN,766.0775,754.1633333333334,753.9483333333333,99.62789754604307,0.14789275398565582,0.02826833724975586
