Scheduler,Turnaround,Waiting,Response,CPU_Util,Throughput,Runtime_s
FIFO,1503.03,1486.495,1486.495,99.96977025392987,0.060459492140266025,0.1268463134765625
Round Robin,1215.855,1199.32,313.585,99.96977025392987,0.060459492140266025,0.1428523063659668
CFS,1264.175,1247.64,596.31,99.96977025392987,0.060459492140266025,0.5847136974334717
MLQ,1505.68,1489.145,1109.305,99.96977025392987,0.060459492140266025,0.14474058151245117
MFQ,1228.86,1212.325,84.78,99.96977025392987,0.060459492140266025,0.12971162796020508
PPO,1436.925,1420.39,1404.795,99.96977025392987,0.060459492140266025,0.29979991912841797
DPO,1149.915,1133.38,1132.95,99.96977025392987,0.060459492140266025,0.31998395919799805
DQN,1503.03,1486.495,1486.495,99.96977025392987,0.060459492140266025,0.34922313690185547
