Scheduler,Turnaround,Waiting,Response,CPU_Util,Throughput,Runtime_s
FIFO,547.305,538.04,538.04,99.0909090909091,0.10695187165775401,0.06477975845336914
Round Robin,689.23,679.965,214.835,99.0909090909091,0.10695187165775401,0.05430006980895996
CFS,615.44,606.175,349.83,99.0909090909091,0.10695187165775401,0.2798740863800049
MLQ,587.34,578.075,355.545,99.0909090909091,0.10695187165775401,0.07998251914978027
MFQ,731.385,722.12,51.5,99.0909090909091,0.10695187165775401,0.059909820556640625
PPO,547.99,538.725,538.19,99.0909090909091,0.10695187165775401,0.1784977912902832
DPO,570.09,560.825,553.58,99.0909090909091,0.10695187165775401,0.16263723373413086
DQN,551.835,542.57,542.34,99.0909090909091,0.10695187165775401,0.17816996574401855
