Scheduler,Turnaround,Waiting,Response,CPU_Util,Throughput,Runtime_s
FIFO,207.7,190.4,190.4,99.88452655889145,0.057736720554272515,0.011265039443969727
Round Robin,198.8,181.5,39.92,99.88452655889145,0.057736720554272515,0.009203433990478516
CFS,210.36,193.06,23.76,99.88452655889145,0.057736720554272515,0.04521965980529785
MLQ,300.74,283.44,170.4,99.88452655889145,0.057736720554272515,0.009396076202392578
MFQ,190.94,173.64,1.34,99.88452655889145,0.057736720554272515,0.008759498596191406
PPO,163.28,145.98,125.18,99.88452655889145,0.057736720554272515,0.0318446159362793
DPO,148.86,131.56,115.3,99.88452655889145,0.057736720554272515,0.0763401985168457
DQN,196.8,179.5,178.58,99.88452655889145,0.057736720554272515,0.03969931602478027
