Scheduler,Turnaround,Waiting,Response,CPU_Util,Throughput,Runtime_s
FIFO,2057.83,2036.535,2036.535,99.83591186122833,0.04688232536333802,0.20275378227233887
Round Robin,1207.9,1186.605,259.41,99.83591186122833,0.04688232536333802,0.17217302322387695
CFS,1240.28,1218.985,398.015,99.83591186122833,0.04688232536333802,0.692457914352417
MLQ,1567.82,1546.525,1131.185,99.83591186122833,0.04688232536333802,0.17970848083496094
MFQ,1191.07,1169.775,49.08,99.83591186122833,0.04688232536333802,0.1501779556274414
PPO,1680.005,1658.71,1637.74,99.83591186122833,0.04688232536333802,0.3721451759338379
DPO,1549.57,1528.275,1505.72,99.83591186122833,0.04688232536333802,0.3081848621368408
DQN,2052.84,2031.545,2031.51,99.83591186122833,0.04688232536333802,0.3133699893951416
